section,title,titleIdx,subtitle,subtitleIdx,subsubtitle,subsubtitleIdx,reqID,comment,img,imgWidth,imgHeight,imgAlign,ImgTitle,TitleAlign
Comment,Model Performance & Testing,3,Model Diagnostic Testing,3.1,,0,11,"As outlined in Section 8.1.6.3 ‘Functional Testing’ of the ECAR model document Model Developers performed functional testing for all variables used in the ECAR model. The model developers appear to have tested sample values for each of the six model variables and provided the expected outcome of each test case. However, the documentation does not provide sufficient details of functional testing and results. The Model Developers provided images of the testing results demonstrating that the testing was completed, but additional details are required on how the tests were conducted, including how the test cases outlined in the MDD align with the test cases that were executed as part of functional testing. Additionally, we also note that the expected value for ‘Zip=95616’ listed in the model documentation has a typological error (i.e. the model document has the expected score of 2 versus the spreadsheet where the score is 0). The model developers should update its document for functional testing [See DD6].

The validator manually performed a risk rating calculation for samples listed in the model document and the ECAR score and corresponding risk rating appears to match with the model document.     
",-,-,-,-,-,-
Comment,Model Performance & Testing,3,Outcome Analysis / Back-testing,3.2,,0,12,"
The validator assessed the distribution of ECAR ratings for all 128 samples from the Training tab of ECAR_Data spreadsheet to assess if the ECAR risk rating is in line given the individual weights assigned to each of the six variables used for risk rating. The validator observed that out of the 86 samples that had a PEP score of 1 (customer is PEP), 15 were assigned a rating of 3 in the ECAR model and thus those profiles do not appear to require EDD. Given that the PEP risk factor has been given the greatest weight, it appears that there is an undocumented assumption that a PEP is not inherently risky or should be automatically subject to further EDD. Per discussions with the model developer it was not the intention of the ECAR model to identify all PEPs as subject to EDD as there is a process in place to review and assess the risk of all PEPs periodically. The model developers should update the documentation to address any assumptions or controls relevant to the rating of PEPs by the ECAR model [See DD8].
",-,-,-,-,-,-
Image,Model Performance & Testing,3,Outcome Analysis / Back-testing,3.2,,0,13,-,static\replicationoutput\BagCls GS ROC 1.png,0.50,0.50,Select,Backtesting Analysis,Select
Image,Model Performance & Testing,3,Benchmarking,3.3,,0,14,-,static\replicationoutput\BagCls RS Confusion Matrix Training.png,0.50,0.50,Select,Confusion matrix Training,Select
Comment,Model Performance & Testing,3,Benchmarking,3.3,,0,15,"We completed some challenger models and compared the model to validation models.
",-,-,-,-,-,-
Image,Model Performance & Testing,3,Benchmarking,3.3,,0,16,-,static\replicationoutput\BagCls RS Confusion Matrix Validation.png,0.50,0.50,Select,Confusion matrix Validation,Select
Comment,Model Performance & Testing,3,"Sensitivity, Stability, and Robustness",3.4,,0,17,"Varo looked at the various confusion matrices to determine multiple metrics.
",-,-,-,-,-,-
Image,Model Performance & Testing,3,"Sensitivity, Stability, and Robustness",3.4,,0,18,-,static\media\user1Chartimgs\device vs status.png,0.50,0.50,center,Status vs device,top
Comment,Implementation and Controls ,4,,0.0,,0,19,"The model implementation plan is appropriate for the AWS environment. Given that the model will be fully automated when deployed, the potential for human error is slim. Additionally, an alert will be put in place for scenarios in which a system error occurs and an ECAR score is not generated for a customer. As this was a pre-implementation validation, a detailed assessment of the production platform, data and code implementation was out of scope.",-,-,-,-,-,-
Comment,Implementation and Controls ,4,"Production Platform, Data, and Code",4.1,,0,20,"The model implementation plan is appropriate for the AWS environment. Given that the model will be fully automated when deployed, the potential for human error is slim. Additionally, an alert will be put in place for scenarios in which a system error occurs and an ECAR score is not generated for a customer. As this was a pre-implementation validation, a detailed assessment of the production platform, data and code implementation was out of scope.",-,-,-,-,-,-
Comment,Implementation and Controls ,4,Implementation Plan,4.2,,0,21,"Per the ECAR model document, the model is implemented using Python with the Pandas and Numpy libraries. The implementation is then containerized in a Docker container using the Amazon SageMaker Containers Library. This allows the model to be deployed inside the AWS environment using the AWS SageMaker service. AWS SageMaker is a fully managed service that allows for creation, deployment and monitoring of models. 

The model developers will be performing multiple types of testing for implementation and throughout the lifecycle of the model, including for Data and DB integrity, functional testing, performance testing, failover testing, security testing, integration testing, and user acceptance testing. However, as per information provided by the model developers, security and integration testing is still being finalized for the ECAR model [See DD7].

Once deployed, the model will be fully automated. As such, the model does not require user level controls or checks to be put in place. 

For access controls, all access controls are through AWS Accounts and AWS Identity and Access Management (IAM). Each environment involved with the ECAR model is in a separate AWS account with separate IAM roles needed for each possible action.  The internally developed tables are also kept in an AWS Aurora Database.

Advisor has one observation for the implementation plan see findings table in section 1.6.",-,-,-,-,-,-
Comment,Governance and Oversight,5,Performance and Risk Monitoring,5.1,,0,22,"The validator read the  ECAR model document to understand the model developer’s approach to ongoing monitoring of the model outputs. As noted in section 9.2 ‘Ongoing Performance and Risk Monitoring Plan’ of the model document, the model developers plan on using the Population Stability Index and sensitivity analysis to understand the shift, if any, in the risk rating distribution of the ECAR model. However, it is unclear from the model document who will produce these metrics and who will ultimately review them, how often such key metrics are produced, and what action will be taken if upper or lower bounds of performance thresholds are breached without an explanation from expert judgement. The model owner should formally define a robust framework for ongoing monitoring including monitoring of key metrics, thresholds to assess performance metrics and sign off protocols [GV1]. ",-,-,-,-,-,-
Comment,Governance and Oversight,5,Change Management,5.2,,0,23,"The validator read the ECAR model document to assess the  change management process governing changes to the ECAR model once the model is implemented in production. Section 9 ‘Governance’ of the model document briefly describes the change management process where model changes are summarized by the Financial Crime Analytics Lead and are subject to the approval from the BSA/AML officer. The model document should describe in detail the governance process for model changes including a detailed process for documenting business requirements for the change, approval of requirements, evidence of testing, approval for go-live, and changes related to the model’s ETL process. Strong governance around model changes can help prevent unauthorized changes to the model and its components [GV2].",-,-,-,-,-,-
Comment,Governance and Oversight,5,Tuning and Calibration,5.3,,0,24,"
As described in section 5.2 ‘Appropriateness of Approach and Alternatives’, the model developers relied on the expert judgement of subject matter experts to assess the training sample data for 128 different combinations of variable values and provide their feedback for a judgmental risk rating to each of the samples assessed. Model weights were optimized by assessing the SME feedback and reducing the error rate of the training data set.   

The validator understands that due to the lack of customer data during the model development, a limited number of distinct combinations for attributes were used to define the risk factor weights. However, there does not appear to be a detailed approach defined in the model document for tuning once the customer data will be available to the Bank post implementation. The document should clearly define a tuning methodology that will be used to calibrate weights, including any cadence to tuning to ensure a robust system of classifying customers into categories of risk, based on their risk factors and characteristics [GV3].",-,-,-,-,-,-
Comment,Governance and Oversight,5,Model Reference Tables,5.4,,0,25,"
As described in the model document, ECAR model uses multiple reference data tables, which also includes score scales, to calculate customer risk ratings. For instance, the BASEL list is used for country risk which is further customized by using expert judgement from subject matter experts to override the existing country risk ratings or assign a rating if the country is missing from the BASEL list, as per the defined criteria. The model document, however, does not describe the governance process for list management should the BASEL list updates, or if changes are made by vendors or third parties. Per the model developers, the countries and zip codes are reviewed annually, and products are updated as any new products are created or modified. The model document should clearly define the governance process to update reference data tables for the ECAR model in case of any changes internal or external [See DD9].",-,-,-,-,-,-
